Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Women'S Adidas Originals U_Path Run Shoes,G27996,7999.0,4799.0,0.4,Adidas Originals,4.8,18
Men'S Adidas Sport Inspired Drogo Shoes,CL4156,2699.0,1349.0,0.5,Adidas Core / Neo,3.5,89
Women'S Adidas Originals Stan Smith Shoes,EE4893,7999.0,4799.0,0.4,Adidas Originals,4.0,47
Women'S Adidas Running Sooraj Shoes,EE9937,5599.0,3359.0,0.4,Adidas Core / Neo,4.8,94
Women'S Adidas Originals U_Path Run Shoes,G27649,7999.0,4799.0,0.4,Adidas Originals,4.5,35
Men'S Adidas Sport Inspired Run 70S Shoes,EE9797,5599.0,3359.0,0.4,Adidas Core / Neo,4.7,39
Men'S Adidas Running Nayo 1.0 Shoes,CI9914,4999.0,2000.0,0.6,Adidas Core / Neo,3.8,98
Men'S Adidas Sports Inspired Lite Racer Shoes,EE8252,4299.0,2149.0,0.5,Adidas Core / Neo,1.5,6
Men'S Adidas Running Nepton 2.0 Shoes,CK9664,5999.0,2999.0,0.5,Adidas Core / Neo,0.0,17
Women'S Adidas Running Aseerun Shoes,EE8501,4999.0,2999.0,0.4,Adidas Core / Neo,4.8,77
Men'S Adidas Running Torik Shoes,CL7602,4799.0,2399.0,0.5,Adidas Core / Neo,4.4,17
Men'S Adidas Sport Inspired Kalus 1.0 Shoes,CL7494,4599.0,2299.0,0.5,Adidas Core / Neo,3.0,28
Men'S Adidas Running Duramo 9 Shoes,EE7923,5999.0,3599.0,0.4,Adidas Core / Neo,3.9,88
Women'S Adidas Originals Continental 80 Shoes,EE5566,7999.0,4799.0,0.4,Adidas Originals,4.0,23
Men'S Adidas Running Yamo 1.0 Shoes,CI1821,4799.0,2399.0,0.5,Adidas Core / Neo,4.3,8
Men'S Adidas Running Nebular 1.0 Shoes,CJ0082,4599.0,2299.0,0.5,Adidas Core / Neo,4.3,64
Men'S Adidas Running Legus Shoes,CJ8062,5999.0,2999.0,0.5,Adidas Core / Neo,3.7,52
Men'S Adidas Originals Supercourt Shoes,EE6038,7599.0,4559.0,0.4,Adidas Originals,4.3,70
Men'S Adidas Toe Side Ii Slippers,CM0068,1299.0,779.0,0.4,Adidas Core / Neo,1.5,59
Men'S Adidas Outdoor Elevate Sandals,CK9830,2799.0,1399.0,0.5,Adidas Sport Performance,2.8,14
Men'S Adidas Running Nebular 1.0 Shoes,CJ0080,4599.0,2299.0,0.5,Adidas Core / Neo,5.0,2
Men'S Adidas Originals Superstar Shoes,EG4957,7999.0,7999.0,0.0,Adidas Originals,4.9,38
Men'S Adidas Originals Stan Smith Shoes,BD7438,7999.0,3999.0,0.5,Adidas Originals,4.0,85
Men'S Adidas Sport Inspired Duramo Lite 2.0 Shoes,B75579,4999.0,2499.0,0.5,Adidas Core / Neo,4.3,6
Men'S Adidas Swim Ozor Iii Slippers,CM0057,1299.0,779.0,0.4,Adidas Core / Neo,2.2,46
Men'S Adidas Swim Gadi Slippers,CL0206,1499.0,749.0,0.5,Adidas Core / Neo,3.7,9
